Class Name,Line Number
FeatureCheckoutOperationTest.java,44
GitCommitsModelCacheTest.java,69
GitCommitsModelCacheTest.java,70
GitCommitsModelCacheTest.java,82
GitCommitsModelCacheTest.java,83
GitCommitsModelCacheTest.java,87
GitCommitsModelCacheTest.java,88
GitCommitsModelCacheTest.java,96
GitCommitsModelCacheTest.java,97
GitCommitsModelCacheTest.java,110
GitCommitsModelCacheTest.java,117
GitCommitsModelCacheTest.java,126
GitCommitsModelCacheTest.java,127
GitCommitsModelCacheTest.java,128
GitCommitsModelCacheTest.java,129
GitCommitsModelCacheTest.java,144
GitCommitsModelCacheTest.java,147
GitCommitsModelCacheTest.java,156
GitCommitsModelCacheTest.java,159
GitCommitsModelCacheTest.java,167
GitCommitsModelCacheTest.java,168
GitCommitsModelCacheTest.java,169
GitCommitsModelCacheTest.java,170
GitCommitsModelCacheTest.java,184
GitCommitsModelCacheTest.java,193
GitCommitsModelCacheTest.java,194
GitCommitsModelCacheTest.java,209
GitCommitsModelCacheTest.java,212
GitCommitsModelCacheTest.java,220
GitCommitsModelCacheTest.java,223
GitCommitsModelCacheTest.java,231
GitCommitsModelCacheTest.java,232
GitCommitsModelCacheTest.java,234
GitCommitsModelCacheTest.java,243
GitCommitsModelCacheTest.java,244
GitCommitsModelCacheTest.java,248
GitCommitsModelCacheTest.java,249
GitCommitsModelCacheTest.java,256
GitCommitsModelCacheTest.java,257
GitCommitsModelCacheTest.java,259
GitCommitsModelCacheTest.java,269
GitCommitsModelCacheTest.java,275
GitCommitsModelCacheTest.java,284
GitCommitsModelCacheTest.java,285
GitCommitsModelCacheTest.java,286
GitCommitsModelCacheTest.java,287
GitCommitsModelCacheTest.java,289
GitCommitsModelCacheTest.java,290
GitCommitsModelCacheTest.java,303
GitCommitsModelCacheTest.java,306
GitCommitsModelCacheTest.java,314
GitCommitsModelCacheTest.java,317
GitCommitsModelCacheTest.java,325
GitCommitsModelCacheTest.java,326
GitCommitsModelCacheTest.java,329
GitCommitsModelCacheTest.java,330
GitCommitsModelCacheTest.java,341
GitCommitsModelCacheTest.java,344
GitCommitsModelCacheTest.java,351
GitCommitsModelCacheTest.java,354
GitCommitsModelCacheTest.java,362
GitCommitsModelCacheTest.java,363
GitCommitsModelCacheTest.java,364
GitCommitsModelCacheTest.java,365
GitCommitsModelCacheTest.java,367
GitCommitsModelCacheTest.java,368
GitCommitsModelCacheTest.java,369
GitCommitsModelCacheTest.java,370
GitCommitsModelCacheTest.java,380
GitCommitsModelCacheTest.java,382
GitCommitsModelCacheTest.java,383
GitCommitsModelCacheTest.java,384
GitCommitsModelCacheTest.java,389
GitCommitsModelCacheTest.java,391
GitCommitsModelCacheTest.java,392
GitCommitsModelCacheTest.java,393
GitCommitsModelCacheTest.java,401
GitCommitsModelCacheTest.java,402
GitCommitsModelCacheTest.java,403
GitCommitsModelCacheTest.java,404
GitCommitsModelCacheTest.java,406
GitCommitsModelCacheTest.java,407
GitCommitsModelCacheTest.java,408
GitCommitsModelCacheTest.java,409
GitCommitsModelCacheTest.java,419
GitCommitsModelCacheTest.java,422
GitCommitsModelCacheTest.java,425
GitCommitsModelCacheTest.java,431
GitCommitsModelCacheTest.java,434
GitCommitsModelCacheTest.java,437
GitCommitsModelCacheTest.java,446
GitCommitsModelCacheTest.java,447
GitCommitsModelCacheTest.java,448
GitCommitsModelCacheTest.java,449
GitCommitsModelCacheTest.java,451
GitCommitsModelCacheTest.java,452
GitCommitsModelCacheTest.java,453
GitCommitsModelCacheTest.java,454
GitCommitsModelCacheTest.java,467
GitCommitsModelCacheTest.java,470
GitCommitsModelCacheTest.java,473
GitCommitsModelCacheTest.java,482
GitCommitsModelCacheTest.java,485
GitCommitsModelCacheTest.java,488
BranchAndResetActionTest.java,186
BranchAndResetActionTest.java,188
BranchAndResetActionTest.java,241
CloneOperationTest.java,51
CloneOperationTest.java,53
CloneOperationTest.java,56
CloneOperationTest.java,61
CloneOperationTest.java,63
CloneOperationTest.java,67
CloneOperationTest.java,69
CloneOperationTest.java,79
CloneOperationTest.java,80
CloneOperationTest.java,81
CloneOperationTest.java,89
CloneOperationTest.java,90
CloneOperationTest.java,91
CloneOperationTest.java,99
CloneOperationTest.java,100
CloneOperationTest.java,101
CloneOperationTest.java,111
CloneOperationTest.java,144
CloneOperationTest.java,158
CloneOperationTest.java,186
CloneOperationTest.java,199
RebaseOperationTest.java,63
RebaseOperationTest.java,67
RebaseOperationTest.java,74
RebaseOperationTest.java,78
RebaseOperationTest.java,100
RebaseOperationTest.java,104
RebaseOperationTest.java,112
RebaseOperationTest.java,118
RebaseOperationTest.java,122
RebaseOperationTest.java,143
RebaseOperationTest.java,147
RebaseOperationTest.java,155
RebaseOperationTest.java,166
RebaseOperationTest.java,190
RebaseOperationTest.java,194
RebaseOperationTest.java,202
RebaseOperationTest.java,213
GitRepositoriesViewRepoDeletionTest.java,106
GitRepositoriesViewRepoDeletionTest.java,148
GitRepositoriesViewRepoDeletionTest.java,178
CreatePatchOperationTest.java,94
CreatePatchOperationTest.java,251
CreatePatchOperationTest.java,253
CreatePatchOperationTest.java,265
CreatePatchOperationTest.java,267
CreatePatchOperationTest.java,271
CreatePatchOperationTest.java,273
CommitNonWSChangesTest.java,83
CommitNonWSChangesTest.java,84
CommitNonWSChangesTest.java,99
CommitNonWSChangesTest.java,100
BranchOperationTest.java,60
SwitchToMenuTest.java,110
