Class Name,Line Number
FeatureCheckoutOperationTest.java,44
GitCommitsModelCacheTest.java,488
BranchAndResetActionTest.java,241
CloneOperationTest.java,199
RebaseOperationTest.java,213
GitRepositoriesViewRepoDeletionTest.java,178
CreatePatchOperationTest.java,273
CommitNonWSChangesTest.java,100
BranchOperationTest.java,60
SwitchToMenuTest.java,277
HistoryTest.java,186
CommitFileRevisionTest.java,285
AbstractSynchronizeViewTest.java,216
SharingWizardTest.java,312
CommitActionStagingViewTest.java,154
CommitMessageBuilderTest.java,40
WorkingTreeChangeCacheTest.java,237
FileDeleteHookTest.java,55
AddOperationTest.java,131
TestUtils.java,274
DecoratableResourceAdapterTest.java,396
FeatureRebaseOperationTest.java,33
WorkingCopyPage.java,76
RepositoryCacheTest.java,94
InitHandlerTest.java,184
RebaseInteractivePlanTest.java,53
MergeToolTest.java,69
GitResourceVariantComparatorTest.java,631
CompareUtilsTest.java,109
SynchronizeViewGitChangeSetModelTest.java,368
SynchronizeViewWorkspaceModelTest.java,321
DeletePathsOperationTest.java,84
SubmoduleFolderTest.java,123
TrackUntrackOperationTest.java,55
ReleaseFinishOperationTest.java,92
ResourceUtilTest.java,123
RewordCommitsOperationTest.java,40
SampleTestRepository.java,137
GitProjectSetCapabilityTest.java,374
GitFlowRepositoryTest.java,42
LocalRepositoryTestCase.java,748
FetchGerritChangeTest.java,95
ConnectProviderOperationTest.java,244
GitSubscriberResourceMappingContextTest.java,282
GitCloneWizardHttpsTest.java,39
CommitActionTest.java,210
GitRepositoriesViewBranchHandlingTest.java,97
GitLightweightDecoratorTest.java,218
SynchronizeViewRemoteAwareChangeSetModelTest.java,197
SelectionForViewsTest.java,99
DisconnectConnectTest.java,108
GitCloneWizardTestBase.java,94
RemoveFromIndexOperationTest.java,209
TagOperationTest.java,54
LinkedResourcesTest.java,110
GitRepositoriesViewRepoHandlingTest.java,390
EGitSecureStoreTest.java,212
MergeWithPreferredStrategyTest.java,62
GitModelBlobTest.java,250
CreatePatchActionTest.java,206
ResetOperationTest.java,133
CommitOperationTest.java,326
SubmoduleAndContainerTreeIteratorTest.java,111
GitMoveDeleteHookTest.java,755
MergeOperationTest.java,48
HistoryViewTest.java,75
ReplaceActionsTest.java,132
IgnoreOperationTest.java,137
PushOperationTest.java,292
EditCommitOperationTest.java,49
GitCloneWizardTest.java,253
ListRemoteOperationTest.java,81
TestUtil.java,501
StashCreateOperationTest.java,92
ProjectUtilTest.java,283
FeatureFinishOperationTest.java,104
DynamicVariablesTest.java,105
ThreeWayDiffEntryTest.java,307
DualRepositoryTestCase.java,64
RepositoryMappingTest.java,170
GitRepositoriesViewFetchAndPushTest.java,83
GitCloneWizardHttpTest.java,32
SmartImportWizardTest.java,170
CommonUtilsTest.java,129
GitModelCacheTest.java,111
GitTestCase.java,119
IndexDiffCacheTest.java,135
SquashCommitsOperationTest.java,48
PushBranchWizardTest.java,261
AbstractGitFlowOperationTest.java,81
HotfixFinishOperationTest.java,73
GitBlobStorageTest.java,80
AbstractDualRepositoryTestCase.java,89
SubmoduleSyncTest.java,78
CommitUtilTest.java,42
ReleaseStartOperationTest.java,94
StagedChangeCacheTest.java,254
PushTest.java,71
DiscardChangesOperationTest.java,164
